name,email,date_of_birth,mobile_no,first_name,last_name,above_18
William Dixon,William_Dixon@woodward-fuller.biz,19860110,40601711,William,Dixon,True
Kristen Horn,Kristen_Horn@lin.com,19740910,737931,Kristen,Horn,True
Kimberly Chang,Kimberly_Chang@johnson-lopez.biz,19740227,2692047,Kimberly,Chang,True
Mary Ball,Mary_Ball@stevens.biz,19680205,886359,Mary,Ball,True
Benjamin Craig,Benjamin_Craig@berry.net,19881211,696429,Benjamin,Craig,True
Cathy Werner,Cathy_Werner@martinez.net,20180925,7138041,Cathy,Werner,False
Brandon Bell,Brandon_Bell@johnson-burgess.com,19611027,768543,Brandon,Bell,True
Paul Farley,Paul_Farley@payne-taylor.com,19801122,8196105,Paul,Farley,True
Sarah Mcdaniel,Sarah_Mcdaniel@hughes-simon.com,20170426,12556,Sarah,Mcdaniel,False
Caroline Anderson,Caroline_Anderson@blair-phillips.com,19880227,5818212,Caroline,Anderson,True
Carl Jones,Carl_Jones@coleman.com,19930621,220035,Carl,Jones,True
Scott Lee,Scott_Lee@phillips.com,20100712,52145751,Scott,Lee,False
Kaylee Coleman,Kaylee_Coleman@hammond.com,20091008,156657,Kaylee,Coleman,False
Charles Parker,Charles_Parker@morris-keller.com,19801220,92921,Charles,Parker,True
Susan Hess,Susan_Hess@sharp-hodges.net,19500521,46541,Susan,Hess,True
Kiara Collier,Kiara_Collier@chandler.biz,19590521,955551,Kiara,Collier,True
Mr. Scott Martinez,Scott_Martinez@goodwin.com,19920216,369441,Mr.,Scott Martinez,True
Christopher Ortega,Christopher_Ortega@perez.biz,19590618,9968155,Christopher,Ortega,True
Michael Russell,Michael_Russell@nunez-wright.com,20130120,6400283,Michael,Russell,False
Dwayne Johnson,Dwayne_Johnson@contreras-boyd.com,20061110,115935,Dwayne,Johnson,False
Deanna Sherman,Deanna_Sherman@wright-sanchez.org,19750425,143073,Deanna,Sherman,True
Douglas Francis,Douglas_Francis@king-cross.org,19921221,1535885,Douglas,Francis,True
Vicki Diaz,Vicki_Diaz@macdonald-day.com,19931005,165459,Vicki,Diaz,True
Robin Phillips,Robin_Phillips@krause.net,19740715,69531,Robin,Phillips,True
Travis Rice,Travis_Rice@bradley.net,20060508,3631 6303,Travis,Rice,False
Ashley Rocha,Ashley_Rocha@hicks.info,19560911,7046565,Ashley,Rocha,True
Sarah Jacobson,Sarah_Jacobson@mclean-jacobs.info,19580309,6107 1779,Sarah,Jacobson,True
Kayla Shannon,Kayla_Shannon@hendricks-hunter.org,19840517,51323743,Kayla,Shannon,True
Joseph Torres,Joseph_Torres@johnson.com,19550505,34376,Joseph,Torres,True
Kim Jones,Kim_Jones@little.net,19850211,34401,Kim,Jones,True
Melissa Tanner,Melissa_Tanner@johnson.net,19890430,70391,Melissa,Tanner,True
Sonya Foster,Sonya_Foster@garcia-browning.com,19881009,143877,Sonya,Foster,True
Mr. Thomas Rivera,Thomas_Rivera@guzman-avila.com,19510715,843813,Mr.,Thomas Rivera,True
Jamie Silva,Jamie_Silva@hill.com,20060621,469791,Jamie,Silva,False
Kathleen Moore,Kathleen_Moore@avila.info,19520203,609093,Kathleen,Moore,True
Evelyn Pineda,Evelyn_Pineda@sullivan-collins.net,19580204,8819217,Evelyn,Pineda,True
Kyle Peters,Kyle_Peters@cole-edwards.com,19950825,346701,Kyle,Peters,True
Anthony Cruz,Anthony_Cruz@burns.com,19550222,1742399,Anthony,Cruz,True
Gary Harper,Gary_Harper@bell-mueller.com,19980111,77546,Gary,Harper,True
Linda Johnson,Linda_Johnson@williams.biz,19590729,828207,Linda,Johnson,True
Melissa Smith,Melissa_Smith@carroll.org,19971208,9831067,Melissa,Smith,True
Kristen Floyd,Kristen_Floyd@robinson.com,19930525,4685654,Kristen,Floyd,True
William Diaz,William_Diaz@cruz-norris.com,19870216,97811,William,Diaz,True
Benjamin Smith,Benjamin_Smith@christian-contreras.com,19871223,9583 5639,Benjamin,Smith,True
David Glenn,David_Glenn@jenkins-mcfarland.org,20110615,960561,David,Glenn,False
Dawn Jones,Dawn_Jones@ashley-johnson.com,20070302,91686479,Dawn,Jones,False
Joel Smith,Joel_Smith@walker-roth.biz,19710909,8287875,Joel,Smith,True
Mr. Larry Grimes,Larry_Grimes@lewis-richardson.info,20051231,966177,Mr.,Larry Grimes,False
Joseph Arnold,Joseph_Arnold@gibbs.biz,20050821,2019270,Joseph,Arnold,False
